,해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
0,1,0.0,180,6.9,4.8,221
1,2,0.2,164,6.2,3.2,195
2,3,0.1,167,6.3,3.6,202
3,4,0.1,170,6.6,3.3,200
4,5,0.1,169,7.2,2.9,219
5,6,0.2,154,6.1,4.1,164
6,7,0.2,158,6.2,3.7,176
7,8,0.2,159,6.6,3.1,184
8,9,0.2,159,6.8,2.6,183
9,10,0.2,154,6.8,1.9,202
10,11,0.3,149,6.3,5.8,166
11,12,0.3,151,6.4,3.9,178
12,13,0.3,152,6.5,2.7,164
13,14,0.3,152,6.4,2.1,156
14,15,0.3,149,6.4,1.3,153
15,16,0.4,141,6.3,2.3,191
16,17,0.4,144,6.4,2.4,190
17,18,0.4,146,6.3,2.2,174
18,19,0.4,148,6.3,2.2,134
19,20,0.4,149,6.3,2.4,123
20,21,0.4,146,6.3,2.1,118
21,22,0.5,134,6.4,1.5,152
22,23,0.5,137,6.4,2.1,162
23,24,0.5,141,6.4,1.8,144
24,25,0.5,143,6.4,1.4,105
25,26,0.5,145,6.4,2.5,103
26,27,0.5,145,6.5,2.9,115
27,28,0.6,137,6.7,2.4,114
28,29,0.5,120,6.1,2.4,107
29,30,0.5,124,6.2,2.5,102
30,31,0.5,129,6.3,2.1,103
31,32,0.5,133,6.3,2.3,95
32,33,0.6,137,6.2,2.3,77
33,34,0.6,141,6.2,2.8,66
34,35,0.6,140,6.0,2.6,74
35,36,0.6,135,6.2,2.5,84
36,37,0.6,135,6.8,2.5,84
37,38,0.4,110,6.0,3.7,109
38,39,0.5,115,6.2,3.8,107
39,40,0.6,120,6.2,2.8,95
40,41,0.6,127,6.1,2.8,77
41,42,0.6,132,6.1,3.5,59
42,43,0.6,134,6.0,3.9,54
43,44,0.6,129,5.9,3.5,57
44,45,0.6,125,6.3,3.3,66
45,46,0.6,133,7.0,3.4,70
46,47,0.5,106,6.2,4.3,115
47,48,0.6,109,6.1,2.7,94
48,49,0.6,116,6.1,3.0,76
49,50,0.6,120,6.0,4.1,64
50,51,0.7,120,5.9,4.0,58
51,52,0.7,118,5.8,4.2,62
52,53,0.6,118,5.9,3.8,59
53,54,0.7,127,6.8,4.2,73
54,55,0.6,99,6.2,2.0,57
55,56,0.6,101,6.1,2.9,61
56,57,0.7,105,6.0,4.1,61
57,58,0.7,107,5.9,4.5,60
58,59,0.7,109,5.8,4.7,57
59,60,0.7,108,5.7,4.7,60
60,61,0.7,117,6.0,4.7,66
61,62,0.6,90,6.1,2.1,74
62,63,0.6,90,6.0,2.9,63
63,64,0.7,91,5.9,3.8,61
64,65,0.7,94,5.8,4.6,59
65,66,0.7,98,5.8,4.9,61
66,67,0.7,99,5.7,5.2,66
67,68,0.8,100,5.7,4.8,61
68,69,0.7,83,6.2,2.7,31
69,70,0.8,84,6.1,4.1,59
70,71,0.8,87,6.0,4.2,66
71,72,0.8,92,5.8,4.8,65
72,73,0.8,86,5.7,5.1,58
73,74,0.9,80,5.7,5.4,59
74,75,-999.0,-999,-999.0,-999.0,-999
75,76,0.9,76,6.3,4.9,56
76,77,0.9,77,6.2,5.0,54
77,78,1.0,76,6.0,5.0,56
78,79,1.0,71,5.9,5.4,63
79,80,1.0,65,5.8,6.0,64
80,81,0.9,70,6.4,5.1,43
81,82,1.0,68,6.3,5.9,50
82,83,1.1,67,6.3,5.8,53
83,84,1.1,64,6.3,5.9,61
84,85,1.1,59,6.2,6.0,64
85,86,1.1,54,6.0,6.4,63
86,87,1.2,63,6.4,5.6,58
87,88,1.3,58,6.3,6.0,63
88,89,1.3,54,6.3,6.4,64
89,90,1.3,49,6.2,7.0,63
90,91,1.2,42,6.1,7.0,64
91,92,1.3,63,6.7,7.2,51
92,93,1.4,54,6.4,7.2,59
93,94,1.4,50,6.3,7.3,64
94,95,1.4,45,6.2,7.4,63
95,96,1.4,39,6.1,7.5,62
96,97,0.5,95,3.6,7.7,85
97,98,0.7,97,4.0,8.5,78
98,99,1.2,67,5.5,8.4,74
99,100,1.4,47,6.6,7.8,70
100,101,1.5,47,6.6,7.8,65
101,102,1.5,41,6.4,8.0,62
102,103,1.4,33,6.3,7.3,60
103,104,1.1,79,5.1,7.8,94
104,105,1.3,61,5.5,7.8,85
105,106,1.3,38,5.8,7.6,74
106,107,1.0,8,6.0,7.2,71
107,108,1.5,34,6.8,7.6,67
108,109,1.4,27,6.6,7.3,60
109,110,1.2,50,5.3,6.3,90
110,111,1.2,31,5.4,6.0,81
111,112,1.2,15,5.4,6.2,76
112,113,1.0,20,6.7,2.1,90
113,114,1.0,350,5.3,3.9,84
114,115,0.8,327,7.7,1.3,38
115,116,0.3,151,5.3,2.3,121
116,117,0.4,176,5.8,2.3,123
117,118,0.3,185,5.8,1.3,149
118,119,0.3,137,5.2,1.8,115
119,120,0.4,150,5.8,2.2,119
120,121,0.5,171,5.8,2.2,132
121,122,0.4,184,5.8,0.9,177
122,123,0.3,195,5.8,2.2,288
123,124,0.1,215,5.7,3.0,284
124,125,0.3,144,5.8,1.0,5
125,126,0.4,154,5.7,0.9,82
126,127,0.5,156,5.7,2.2,141
127,128,0.5,159,5.7,2.7,141
128,129,0.4,183,5.7,1.4,160
129,130,0.2,197,5.7,2.5,315
130,131,0.2,99,3.7,1.2,329
131,132,0.2,122,5.3,1.8,352
132,133,0.4,155,5.7,1.0,14
133,134,0.4,167,5.7,1.8,132
134,135,0.5,153,5.7,3.0,132
135,136,0.5,163,5.6,3.8,144
136,137,0.3,185,5.3,2.5,150
137,138,0.1,71,3.5,2.7,355
138,139,0.2,85,4.3,2.6,358
139,140,0.4,141,5.5,1.7,10
140,141,0.5,162,5.7,1.4,104
141,142,0.5,151,5.6,3.2,120
142,143,0.6,144,5.6,4.4,110
143,144,0.6,149,5.1,4.9,115
144,145,0.5,156,4.7,5.6,113
145,146,0.4,135,4.1,5.3,112
146,147,0.4,144,5.4,2.1,29
147,148,0.5,158,5.5,2.0,73
148,149,0.5,141,5.4,3.6,89
149,150,0.6,127,5.0,4.4,88
150,151,0.6,126,4.2,5.1,97
151,152,0.6,128,4.0,5.8,100
152,153,0.6,116,3.5,5.8,108
153,154,0.2,242,4.3,6.0,112
154,155,0.4,152,5.4,2.7,255
155,156,0.4,151,5.4,1.4,289
156,157,0.5,147,5.3,1.7,345
157,158,0.5,155,5.3,2.5,41
158,159,0.5,144,5.3,3.4,52
159,160,0.6,125,5.2,3.9,57
160,161,0.6,130,5.3,4.4,83
161,162,0.5,145,5.3,4.6,96
162,163,0.4,187,5.3,4.7,104
163,164,0.2,222,5.2,4.2,109
164,165,0.4,137,5.3,2.3,313
165,166,0.5,136,5.3,2.8,327
166,167,0.5,138,5.3,3.4,333
167,168,0.5,147,5.3,3.0,353
168,169,0.5,152,5.3,2.7,16
169,170,0.5,138,5.2,2.2,17
170,171,0.5,148,5.2,0.5,134
171,172,0.5,195,5.2,3.0,188
172,173,0.5,213,5.3,5.2,197
173,174,0.2,226,5.2,5.1,207
174,175,0.5,122,5.3,2.4,346
175,176,0.5,125,5.2,2.6,338
176,177,0.5,127,5.2,3.5,334
177,178,0.5,136,5.2,3.7,336
178,179,0.5,150,5.2,1.7,332
179,180,0.5,166,5.2,2.2,245
180,181,0.6,196,5.1,5.6,215
181,182,0.6,222,5.1,6.3,209
182,183,0.5,240,4.9,4.7,214
183,184,0.2,263,4.4,3.2,212
184,185,0.5,106,5.0,2.6,13
185,186,0.5,111,5.1,2.6,358
186,187,0.5,114,5.1,2.4,338
187,188,0.5,119,5.0,2.3,309
188,189,0.5,133,5.0,2.4,232
189,190,0.5,176,4.9,3.7,209
190,191,0.5,226,4.9,2.9,196
191,192,0.5,258,4.8,3.0,189
192,193,0.4,282,4.7,2.9,208
193,194,0.1,300,4.0,1.9,208
194,195,0.5,85,4.8,3.0,42
195,196,0.5,92,4.8,2.3,44
196,197,0.5,93,4.8,1.5,37
197,198,0.5,92,4.8,0.7,64
198,199,0.5,89,4.7,0.8,103
199,200,0.5,40,4.7,1.4,121
200,201,0.5,270,4.7,2.5,139
201,202,0.5,284,4.7,2.6,144
202,203,0.4,281,4.6,0.8,236
203,204,0.0,263,3.8,0.3,341
204,205,0.6,68,4.8,3.4,76
205,206,0.6,58,4.8,3.1,80
206,207,0.6,42,4.8,3.5,86
207,208,0.6,8,4.8,4.1,80
208,209,0.6,314,4.7,4.1,70
209,210,0.5,268,4.7,3.4,51
210,211,0.4,233,4.7,2.8,37
211,212,0.3,199,4.7,4.5,108
212,213,0.5,98,3.7,6.9,99
213,214,0.7,91,4.3,7.6,98
214,215,0.7,45,5.1,6.4,61
215,216,0.7,35,5.0,6.8,60
216,217,0.7,21,4.9,7.1,57
217,218,0.6,357,4.9,5.7,55
218,219,0.6,327,4.9,5.0,59
219,220,0.5,265,4.8,4.3,52
220,221,0.5,237,4.7,1.9,56
221,222,0.4,235,4.7,2.8,98
222,223,0.6,64,4.9,6.2,113
223,224,0.9,65,5.1,6.7,105
224,225,0.7,30,5.3,5.5,52
225,226,0.6,25,5.3,4.4,58
226,227,0.6,14,5.2,2.4,82
227,228,0.6,358,5.2,3.1,119
228,229,0.6,336,5.2,4.0,125
229,230,0.6,300,5.1,3.9,118
230,231,0.5,252,4.9,2.8,142
231,232,0.5,228,4.7,4.5,141
232,233,0.5,186,4.8,3.4,108
233,234,0.8,53,5.7,1.7,111
234,235,0.6,30,5.6,1.6,312
235,236,0.6,21,5.6,2.5,234
236,237,0.6,11,5.5,4.1,201
237,238,0.6,358,5.5,4.6,168
238,239,0.6,342,5.5,4.8,149
239,240,0.6,318,5.4,4.6,135
240,241,0.6,277,5.1,4.6,126
241,242,0.6,239,4.7,4.6,125
242,243,0.6,220,4.6,3.7,107
243,244,0.7,287,6.8,2.0,74
244,245,0.6,28,5.7,3.9,247
245,246,0.7,23,5.7,4.1,227
246,247,0.7,13,5.7,4.6,203
247,248,0.7,359,5.7,4.5,201
248,249,0.7,340,5.7,3.8,197
249,250,0.6,317,5.8,3.4,197
250,251,0.6,278,5.7,2.9,193
251,252,0.6,243,4.8,2.5,198
252,253,0.6,234,4.5,2.0,207
253,254,0.7,246,5.1,1.6,224
254,258,1.0,117,9.8,6.0,218
255,259,1.0,118,9.8,6.0,214
256,260,1.0,117,9.7,5.8,214
257,261,1.0,117,9.7,5.6,216
258,262,1.0,116,9.7,5.5,219
259,263,1.0,116,9.7,5.3,223
260,264,0.9,110,9.8,5.0,205
261,265,1.0,110,9.7,5.0,204
262,266,1.0,110,9.7,4.8,205
263,267,1.0,111,9.7,4.7,207
264,268,1.0,112,9.6,4.6,207
265,269,1.0,112,9.6,4.7,208
266,270,1.0,107,9.7,4.2,193
267,271,1.0,108,9.7,4.0,191
268,272,1.0,110,9.6,3.9,191
269,273,1.0,111,9.6,3.9,187
270,274,1.0,112,9.5,3.7,188
271,275,1.0,113,9.5,3.5,193
272,276,1.0,108,9.7,3.8,181
273,277,1.0,110,9.6,3.7,179
274,278,1.0,111,9.5,3.4,177
275,279,1.0,113,9.5,3.0,172
276,280,1.1,113,9.4,2.8,174
277,281,1.1,114,9.4,2.7,176
278,282,1.0,110,9.6,3.7,168
279,283,1.1,111,9.5,3.5,166
280,284,1.1,112,9.5,3.5,164
281,285,1.1,113,9.4,3.5,158
282,286,1.1,114,9.4,3.2,154
283,287,1.1,115,9.3,3.0,149
284,288,1.1,110,9.6,3.9,160
285,289,1.1,111,9.5,3.8,154
286,290,1.1,112,9.4,3.8,149
287,291,1.1,113,9.3,3.8,145
288,292,1.1,114,9.3,3.7,141
289,293,1.1,114,9.3,3.6,135
290,294,1.1,110,9.5,4.4,151
291,295,1.2,111,9.4,4.3,147
292,296,1.2,112,9.3,4.3,144
293,297,1.2,112,9.3,4.1,139
294,298,1.2,113,9.3,4.0,137
295,299,1.2,113,9.2,3.8,132
296,302,0.0,183,7.4,3.9,235
297,303,0.0,185,7.7,3.7,256
298,304,0.0,148,7.6,3.3,253
299,305,0.1,74,5.1,3.3,255
300,306,0.1,159,7.3,3.0,235
301,307,0.1,116,7.3,2.9,246
302,308,0.1,63,6.1,2.4,256
303,309,0.2,46,5.8,2.4,264
304,310,0.2,137,6.8,1.4,222
305,311,0.2,91,6.7,1.4,242
306,312,0.3,52,6.4,1.5,252
307,313,0.4,23,6.1,1.4,276
308,314,0.3,134,6.3,0.5,133
309,315,0.3,81,6.3,0.4,40
310,316,0.4,51,6.3,0.7,28
311,317,0.4,31,6.3,1.0,47
312,318,0.4,122,6.5,1.8,101
313,319,0.5,91,6.5,1.7,76
314,320,0.4,67,6.3,2.2,64
315,321,0.4,44,6.5,3.0,61
316,322,0.6,128,6.7,2.3,98
317,323,0.5,122,6.7,2.3,74
318,324,0.5,99,6.9,2.7,58
319,325,0.5,55,7.0,3.3,53
320,326,0.6,141,6.6,2.9,80
321,327,0.6,144,6.6,3.2,84
322,328,0.6,125,6.9,3.1,76
323,329,0.6,76,7.0,3.4,61
324,330,0.6,143,6.9,3.6,75
325,331,0.6,141,7.0,4.0,73
326,332,0.7,115,7.2,3.9,65
327,333,0.7,83,7.2,4.3,60
328,334,0.7,133,7.0,4.1,70
329,335,0.7,118,7.2,4.5,67
330,336,0.8,94,7.3,5.1,63
331,337,0.8,80,7.2,5.9,60
332,338,0.7,112,6.8,4.5,68
333,339,0.8,96,7.6,5.0,72
334,340,0.8,83,7.4,5.0,70
335,341,0.9,72,7.0,5.8,66
336,342,0.8,89,6.0,4.9,65
337,343,0.9,78,7.0,5.6,65
338,344,0.9,69,7.0,6.1,62
339,345,1.0,63,6.0,6.1,62
340,346,0.9,72,5.8,5.8,59
341,347,1.0,65,5.8,6.1,57
342,348,1.1,58,5.5,6.5,54
343,349,1.2,53,5.3,7.2,54
344,350,1.1,60,5.8,6.5,59
345,351,1.2,55,5.8,6.9,59
346,352,1.2,50,5.6,6.8,59
347,353,1.2,46,5.5,7.0,56
348,354,1.2,47,5.9,6.8,62
349,355,1.1,33,5.8,6.3,60
350,356,0.9,44,5.8,6.7,63
351,357,1.2,38,5.8,6.5,57
352,358,1.1,34,5.8,6.5,61
353,359,1.0,29,5.9,6.1,64
354,360,1.0,42,6.2,5.6,64
355,361,1.1,31,6.0,4.7,68
356,362,1.2,32,6.1,7.3,65
357,363,1.0,17,5.8,6.2,72
358,365,1.2,26,6.2,6.8,64
359,366,1.0,15,6.1,6.4,66
