,해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
0,1,0.0,189,3.9,1.5,280
1,2,0.1,175,6.7,1.5,306
2,3,0.0,177,7.6,1.9,283
3,4,0.0,178,7.0,1.3,250
4,5,0.0,163,6.4,0.4,215
5,6,0.1,164,6.6,0.1,340
6,7,0.1,169,7.1,1.3,260
7,8,0.1,163,7.4,1.6,241
8,9,0.1,126,7.9,0.8,129
9,10,0.1,83,8.1,0.9,90
10,11,0.2,159,6.5,0.5,239
11,12,0.2,161,6.5,1.1,217
12,13,0.2,156,6.6,0.3,219
13,14,0.1,110,7.0,1.2,54
14,15,0.2,58,6.9,1.8,57
15,16,0.4,148,6.1,1.1,37
16,17,0.4,152,6.1,0.4,159
17,18,0.3,153,6.1,0.2,120
18,19,0.3,147,6.1,1.4,39
19,20,0.2,116,7.1,2.3,37
20,21,0.2,61,7.4,2.6,49
21,22,0.6,138,6.1,0.8,52
22,23,0.5,141,6.0,1.0,101
23,24,0.5,143,5.9,1.7,92
24,25,0.4,143,6.0,1.6,51
25,26,0.4,141,6.1,2.7,33
26,27,0.3,127,6.8,3.2,35
27,28,0.4,83,7.9,2.8,43
28,29,0.6,125,6.4,1.3,347
29,30,0.6,128,6.3,1.6,55
30,31,0.6,130,6.2,2.1,81
31,32,0.6,131,6.1,2.4,84
32,33,0.5,133,6.0,2.5,65
33,34,0.5,134,5.9,2.8,46
34,35,0.5,134,6.0,3.5,41
35,36,0.5,128,6.2,3.7,34
36,37,0.5,118,6.8,3.5,35
37,38,0.6,113,6.4,1.1,37
38,39,0.7,118,6.4,2.8,59
39,40,0.7,120,6.2,3.0,62
40,41,0.6,121,6.1,3.4,58
41,42,0.6,123,5.9,3.5,53
42,43,0.6,125,6.0,3.9,40
43,44,0.6,125,6.1,4.2,42
44,45,0.6,126,6.0,4.3,37
45,46,0.7,127,5.9,4.3,39
46,47,0.7,109,6.4,2.0,78
47,48,0.7,111,6.3,2.7,68
48,49,0.7,113,6.2,3.0,57
49,50,0.7,117,6.1,3.9,51
50,51,0.7,120,6.2,4.5,46
51,52,0.7,121,6.1,4.6,48
52,53,0.8,126,6.0,4.8,43
53,54,0.8,131,6.0,4.8,43
